ID,age_optional_34,gender_35,transgender_36,sexual_orientation_37,ethnicity_38,disabilitys_39,mental_illness_40,dependents_41,survey_length_42,survey_difficulty_43,final_thoughts_44
6,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
7,27,Man,No,Prefer not to say,Black or of African descent,I prefer not to answer;,I prefer not to answer;,I prefer not to say,Too long,Easy,
8,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
9,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
10,22,Man,,Straight / Heterosexual,,,,No,Appropriate in length,Easy,
11,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
12,35,Woman,No,Straight / Heterosexual,Black or of African descent,I am deaf / hard of hearing;,None of the above;,Yes,Too long,Neither easy nor difficult,
13,,Man,Yes,,Black or of African descent,None of the above;,,I prefer not to say,Too long,Easy,
14,,Man,No,Straight / Heterosexual,Black or of African descent,,,,Appropriate in length,Neither easy nor difficult,
15,,Man,No,,,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
16,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,"No, but this survey was great. I kinda made me feel i have a lot to go for. Thank you for this survey."
17,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have a concentration and/or memory disorder (e.g. ADHD);,No,Appropriate in length,Easy,
18,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
19,23,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Difficult,
20,,Man,,,,,,,,,
21,20,Man,No,Straight / Heterosexual,Black or of African descent,,,,Appropriate in length,Easy,This is a very good initiative to map out developer community in Ghana.
22,23,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,I was expecting more dev community questions based
23,22,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
24,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
25,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
26,,Man,No,,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Too long,Neither easy nor difficult,
27,25,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
28,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
29,25,Man,No,,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
30,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
31,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
32,26,Woman,No,Straight / Heterosexual,Black or of African descent,,,Yes,,,
33,25,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,Yes,,,
34,,Man,No,,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
35,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
36,24,Man,No,Prefer not to say,,,,No,Too long,Easy,
37,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
38,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
39,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
40,,Woman,No,Bisexual,Black or of African descent,None of the above;,None of the above;,Yes,,,
41,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
42,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
43,35,Man,No,,,,,,Too long,Neither easy nor difficult,
44,48,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,I will suggest the Survey should be conducted most often
45,22,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,Next button doesn't take you to top of the next page but rather the bottom of it. Clicking on a blank space sometimes opened ads
46,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
47,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
48,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
49,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
50,,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,Would like to have an improved skill and field to have practicalexperience
51,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
52,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Difficult,
53,31,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
54,25,Man,No,Straight / Heterosexual,Biracial,None of the above;,None of the above;,No,Too long,Easy,
55,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Difficult,Feedback: I couldnt fill this form on mobile cause I couldnt scroll past number 4 for whatever reason. The web is ok thats what I used
56,,Man,No,Straight / Heterosexual,Black or of African descent,,,,Too long,Neither easy nor difficult,
57,31,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
58,33,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
59,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);",Yes,Too long,Easy,
60,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
61,,Woman,No,Prefer not to say,Black or of African descent,,,Yes,Too long,Easy,"I have a question, will the community have access to the results/report of this survey?"
62,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,I'd like to move to a country outside africa. Hihi
63,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
64,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
65,,Man,,,,,,Yes,Too long,Easy,
66,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,Yes,Too long,Difficult,
67,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
68,,Man,No,None,Black or of African descent,None of the above;,None of the above;,Yes,,,
69,,Man,No,Prefer not to say,Black or of African descent,,,Yes,Appropriate in length,Neither easy nor difficult,
70,39,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,"Well designed questions, long though"
71,21,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
72,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,I love programming
73,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,Interessing survey tho
74,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,Yes,Appropriate in length,Neither easy nor difficult,
75,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
76,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,Glad I took this survey
77,23,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,No,Too long,Easy,
78,28,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
79,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Easy,
80,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,Good survey. Will be happy to view and analyze responses.
81,,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Too long,Neither easy nor difficult,
82,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,,Yes,Too long,Easy,
83,19,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
84,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
85,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,No
86,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
87,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,???
88,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
89,24,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Appropriate in length,Easy,I look forward to more networking opportunities from HackLab Foundation. Keep up the great work!
90,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
91,23,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,,,Easy,
92,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
93,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
94,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
95,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,There was no option for no interest in learning/working with a technology
96,24,Man,No,Straight / Heterosexual,Black or of African descent,I am deaf / hard of hearing;I am blind / have difficulty seeing;,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder;",Yes,Too long,Neither easy nor difficult,
97,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
98,,Man,No,Prefer not to say,I prefer not to answer,,,,Appropriate in length,Neither easy nor difficult,
99,24,Man,,,,,,No,Too long,Easy,
100,20,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,"We are fast approaching a more advanced world, the earlier you learn how to code, the better, regardless of your  educational background, everyone can learn how to code."
101,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
102,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
103,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
104,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,No comments
105,28,Woman,No,,Black or of African descent,None of the above;,,No,Appropriate in length,Easy,
106,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
107,19,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
108,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
109,25,Woman,No,,Black or of African descent,I wear glasses;,None of the above;,No,Appropriate in length,Easy,
110,26,Man,No,Straight / Heterosexual,I prefer not to answer,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
111,20,Man,No,,Black or of African descent,,,No,Appropriate in length,Neither easy nor difficult,
112,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
113,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,,No,Appropriate in length,Easy,
114,20,Man,No,Straight / Heterosexual,Black or of African descent,I prefer not to answer,None of the above;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
115,33,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Difficult,
116,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
117,20,Man,No,Straight / Heterosexual,Black or of African descent,I am blind / have difficulty seeing;,None of the above;,No,Too long,Neither easy nor difficult,
118,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
119,17,Man,No,Prefer not to say,Black or of African descent,I prefer not to answer;,I prefer not to answer;,No,Appropriate in length,Difficult,Hmm
120,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
121,21,Man,No,,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,"I would be glad if I am offered an opportunity to learn and become a full stack developer (if a mentor it's also fine)
I'm a computer science student level 200 at the moment and I would like to learn more technologies and up skill to become the better version of my self. :)"
122,,Woman,No,,Black or of African descent,,,Yes,Too long,Neither easy nor difficult,
123,22,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Too long,Neither easy nor difficult,
124,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
125,23,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
126,,Man,,,Black or of African descent,,,,Too long,Neither easy nor difficult,
127,25,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have an anxiety disorder;OCD;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
128,24,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
129,,Woman,,,,,,,Appropriate in length,Easy,
130,25,Man,No,Straight / Heterosexual,Black or of African descent,I prefer not to answer;,I prefer not to answer;,No,Too long,Neither easy nor difficult,Please be honest in your survey estimation time
131,18,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,No please
132,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,No please
133,25,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
134,24,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,Looking forward to the findings from this survey.
135,29,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have a concentration and/or memory disorder (e.g. ADHD);,No,Too long,Easy,I'm not very clear on the subject matter or overall purpose of this survey so I can't gather any conclusive thoughts
136,27,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
137,,Woman,No,,Black or of African descent,,,No,Appropriate in length,Neither easy nor difficult,
138,,Woman,No,Straight / Heterosexual,Black or of African descent,I am deaf / hard of hearing;,None of the above;,No,Too long,Easy,
139,,Man,,,Black or of African descent,I am blind / have difficulty seeing;,None of the above;,Yes,Too long,Difficult,
140,,Man,,Straight / Heterosexual,Black or of African descent,,None of the above;,No,,,
141,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,,Appropriate in length,Easy,
142,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,None
143,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Easy,
144,,Man,,,,,,,Too long,Neither easy nor difficult,
